t, Date, ConversionRate,
1,31-Mar-15,0.923383,
2,30-Apr-15,0.92545,
3,31-May-15,0.895522,
4,30-Jun-15,0.891106, 
5,31-Jul-15,0.908471,
6,31-Aug-15,0.898781,
7,30-Sep-15,0.889836,
8,31-Oct-15,0.890691,
9,30-Nov-15,0.931522,
10,31-Dec-15,0.91807,
11,31-Jan-16,0.920897,
12,29-Feb-16,0.900873,
13,31-Mar-16,0.89946,
14,30-Apr-16,0.88188,
15,31-May-16,0.88437,
16,30-Jun-16,0.889375,
17,31-Jul-16,0.904111,
18,31-Aug-16,0.89262,
19,30-Sep-16,0.892636,
20,31-Oct-16,0.906425,
21,30-Nov-16,0.92746,
22,31-Dec-16,0.949012,
23,31-Jan-17,0.940876,
24,28-Feb-17,0.939114,
25,31-Mar-17,0.9351,
26,30-Apr-17,0.93391,
27,31-May-17,0.904193,
28,30-Jun-17,0.890534,
29,31-Jul-17,0.867527,
30,31-Aug-17,0.846339,
31,30-Sep-17,0.839493,
32,31-Oct-17,0.851139,
33,30-Nov-17,0.851487,
34,31-Dec-17,0.84425,
35,31-Jan-18,0.819901,
36,28-Feb-18,0.810022,
37,31-Mar-18,0.811046,
38,30-Apr-18,0.814554,
39,31-May-18,0.845653,
40,30-Jun-18,0.856183,
41,31-Jul-18,0.855282,
42,31-Aug-18,0.866686,
43,30-Sep-18,0.857968,
44,31-Oct-18,0.870075,
45,30-Nov-18,0.879906,
46,31-Dec-18,0.879002,
47,31-Jan-19,0.875631,
48,28-Feb-19,0.880959,
49,31-Mar-19,0.885152,
50,30-Apr-19,0.890132,
51,31-May-19,0.893524,
52,30-Jun-19,0.884948,
53,31-Jul-19,0.891499,
54,31-Aug-19,0.897508,
55,30-Sep-19,0.907199,
56,31-Oct-19,0.903815,
57,30-Nov-19,0.904806,
58,31-Dec-19,0.900067,
59,31-Jan-20,0.901049,
60,11-Feb-20,0.909516,